Const,Your Rating,Date Rated,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
tt28607951,9,2024-12-24,"Anora","Anora",https://www.imdb.com/title/tt28607951,Película,7.4,139,2024,"Drama, Comedia, Romance",283327,"2025-01-16","Sean Baker"
tt1677720,5,2024-08-17,"Ready Player One: comienza el juego","Ready Player One",https://www.imdb.com/title/tt1677720,Película,7.4,140,2018,"Ciencia ficción, Acción, Aventura",542515,"2018-03-30","Steven Spielberg"
tt1856101,10,2024-08-17,"Blade Runner 2049","Blade Runner 2049",https://www.imdb.com/title/tt1856101,Película,8.0,164,2017,"Ciencia ficción, Suspenso, Acción, Drama, Misterio",755453,"2017-10-05","Denis Villeneuve"
tt1392170,7,2024-08-17,"Los juegos del hambre","The Hunger Games",https://www.imdb.com/title/tt1392170,Película,7.2,142,2012,"Aventura, Ciencia ficción, Suspenso, Acción",1083147,"2012-03-23","Gary Ross"
tt2103281,6,2024-08-17,"El planeta de los simios: confrontación","Dawn of the Planet of the Apes",https://www.imdb.com/title/tt2103281,Película,7.6,130,2014,"Animación, Acción, Aventura, Drama, Ciencia ficción, Suspenso",511802,"2014-07-25","Matt Reeves"
tt3450958,7,2024-08-17,"El planeta de los simios: la guerra","War for the Planet of the Apes",https://www.imdb.com/title/tt3450958,Película,7.4,140,2017,"Animación, Acción, Drama, Ciencia ficción, Aventura, Suspenso",327153,"2017-07-27","Matt Reeves"
tt3315342,6,2024-08-17,"Logan. Wolverine","Logan",https://www.imdb.com/title/tt3315342,Película,8.1,137,2017,"Acción, Ciencia ficción, Drama, Suspenso",927097,"2017-03-03","James Mangold"
tt11389872,5,2024-08-17,"El Planeta De Los Simios: Nuevo Reino","Kingdom of the Planet of the Apes",https://www.imdb.com/title/tt11389872,Película,6.8,145,2024,"Animación, Acción, Ciencia ficción, Aventura, Drama, Suspenso",169195,"2024-05-09","Wes Ball"
tt4574334,8,2024-08-17,"Stranger Things","Stranger Things",https://www.imdb.com/title/tt4574334,Serie de TV,8.6,60,2016,"Drama, Terror, Suspenso, Ciencia ficción, Misterio, Fantasía",1703808,"2016-07-15",
tt0489099,2,2024-08-17,"Jumper","Jumper",https://www.imdb.com/title/tt0489099,Película,6.1,88,2008,"Aventura, Ciencia ficción, Suspenso, Acción",338106,"2008-03-28","Doug Liman"
tt11866324,8,2024-08-17,"Depredador: La Presa","Prey",https://www.imdb.com/title/tt11866324,Película,7.1,100,2022,"Ciencia ficción, Suspenso, Acción, Aventura, Terror",273392,"2022-08-05","Dan Trachtenberg"
tt5672290,8,2024-06-09,"La Primera Profecía","The First Omen",https://www.imdb.com/title/tt5672290,Película,6.5,119,2024,"Terror",71600,"2024-04-04","Arkasha Stevenson"
tt11858890,8,2024-02-18,"Resistencia","The Creator",https://www.imdb.com/title/tt11858890,Película,6.7,133,2023,"Acción, Drama, Ciencia ficción, Suspenso, Aventura",198155,"2023-09-28","Gareth Edwards"
tt0816692,10,2024-02-18,"Interestelar","Interstellar",https://www.imdb.com/title/tt0816692,Película,8.7,169,2014,"Ciencia ficción, Aventura, Drama",2535841,"2014-11-06","Christopher Nolan"
tt1517268,7,2024-02-18,"Barbie","Barbie",https://www.imdb.com/title/tt1517268,Película,6.8,114,2023,"Comedia, Aventura, Fantasía",681608,"2023-07-20","Greta Gerwig"
tt15398776,9,2024-02-18,"Oppenheimer","Oppenheimer",https://www.imdb.com/title/tt15398776,Película,8.2,180,2023,"Biografía, Drama, Historia",1040828,"2023-07-20","Christopher Nolan"
tt16277242,8,2024-02-18,"La sociedad de la nieve","La sociedad de la nieve",https://www.imdb.com/title/tt16277242,Película,7.8,144,2023,"Aventura, Drama, Historia, Suspenso, Biografía",174430,"2023-12-14","J.A. Bayona"
tt13238346,8,2024-02-18,"Vidas pasadas","Past Lives",https://www.imdb.com/title/tt13238346,Película,7.8,105,2023,"Drama, Romance",173577,"2024-02-01","Celine Song"
tt21192142,8,2024-02-18,"Todos Somos Extraños","All of Us Strangers",https://www.imdb.com/title/tt21192142,Película,7.6,105,2023,"Drama, Romance",79238,"2024-02-29","Andrew Haigh"
tt17351924,9,2023-12-28,"Saltburn","Saltburn",https://www.imdb.com/title/tt17351924,Película,7.0,131,2023,"Suspenso, Drama",266722,"2023-12-22","Emerald Fennell"
tt12747748,10,2023-12-09,"Dejar el mundo atrás","Leave the World Behind",https://www.imdb.com/title/tt12747748,Película,6.4,138,2023,"Drama, Suspenso, Misterio",242733,"2023-12-08","Sam Esmail"
tt0420206,8,2023-11-05,"Sommersturm","Sommersturm",https://www.imdb.com/title/tt0420206,Película,7.2,98,2004,"Comedia, Drama, Romance, Deportes",15014,"2004-09-02","Marco Kreuzpaintner"
tt8694364,10,2023-11-05,"Years and Years","Years and Years",https://www.imdb.com/title/tt8694364,Miniserie de TV,8.2,60,2019,"Drama, Ciencia ficción",37582,"2019-06-28",
tt0120577,9,2023-06-21,"Estudio 54","54",https://www.imdb.com/title/tt0120577,Película,5.9,93,1998,"Música, Drama",35848,"1998-08-28","Mark Christopher"
